observed_scientific_name,valid_scientific_name,vernacular_en
Dactylina,Dactylina,NULL
Phaeophyscia,Phaeophyscia,NULL
Orthotrichum,Orthotrichum,NULL
Encalypta,Encalypta,candle snuffer moss
Dicranella,Dicranella,NULL
Bucklandiella,Bucklandiella,NULL
Schistidium,Schistidium,NULL
Omphalodiscus,Umbilicaria,NULL
Arctoparmelia,Arctoparmelia,NULL
Astragalus,Astragalus,milk-vetch
Peltigera neckeri,Peltigera neckeri,NULL
Phaeophyscia constipata,Phaeophyscia constipata,NULL
Peltigera neopolydactyla,Peltigera neopolydactyla,NULL
Marsupella brevissima,Gymnomitrion brevissimum,NULL
Prasanthus suecicus,Prasanthus suecicus,NULL
Baeomyces placophyllus,Baeomyces placophyllus,NULL
Lecanora circumborealis,Lecanora circumborealis,NULL
Ptilidium pulcherrimum,Ptilidium pulcherrimum,NULL
Bryoria simplicior,Bryoria simplicior,NULL
Melanohalea septentrionalis,Melanohalea septentrionalis,NULL
Parmeliopsis hyperopta,Parmeliopsis hyperopta,NULL
Bryum algovicum,Ptychostomum pendulum,NULL
Bryobilimbia,Bryobilimbia,NULL
Buellia,Buellia,NULL
Lecidella,Lecidella,NULL
Cephalozia lunulifolia,Fuscocephaloziopsis lunulifolia,NULL
Leiomylia anomala,Mylia anomala,NULL
Fissidens,Fissidens,NULL
Cladonia ochrochlora,Cladonia ochrochlora,NULL
Tuckermannopsis,Tuckermannopsis,NULL
Hennediella heimii,Hennediella heimii,NULL
Orthothecium intricatum,Orthothecium intricatum,intricate orthothecium moss
Sauteria alpina,Sauteria alpina,NULL
Arctocetraria nigricascens,Nephromopsis nigricascens,NULL
Hypnum plicatulum,Aquilonium plicatulum,NULL
Bryum capillare,Rosulabryum capillare,NULL
Hypnum revolutum,Roaldia revoluta,revolute hypnum moss
Hygrohypnum alpestre,Platyhypnum alpestre,NULL
Arctagrostis latifolia,Arctagrostis latifolia,wide-leaved polargrass
Barbilophozia lycopodioides,Barbilophozia lycopodioides,NULL
Pellia epiphylla,Pellia epiphylla,NULL
Sarmentypnum tundrae,Sarmentypnum tundrae,NULL
Plagiomnium ellipticum,Plagiomnium ellipticum,elliptic plagiomnium moss
Funaria hygrometrica,Funaria hygrometrica,NULL
Barbilophozia atlantica,Orthocaulis atlanticus,atlantic barbilophozia
Brachythecium curtum,Sciuro-hypnum curtum,NULL
Cratoneuron commutatum falcatum,Palustriella falcata,NULL
Dicranella cerviculata,Dicranella cerviculata,NULL
Moehringia macrophylla,Moehringia macrophylla,large-leaved sandwort
Viola renifolia,Viola renifolia,kidney-leaved violet
Viola palustris,Viola palustris,alpine marsh violet
Arnica angustifolia,Arnica angustifolia,narrow-leaved arnica
Stellaria crassifolia,Stellaria crassifolia,fleshy starwort
Montia fontana,Montia fontana,water blinks
Menyanthes trifoliata verna,Menyanthes trifoliata,bog buckbean
Rangifer tarandus,Rangifer tarandus,reindeer
Pseudacris triseriata,Pseudacris triseriata,striped chorus frog
Ixobrychus exilis,Ixobrychus exilis,least bittern
Bucephala islandica,Bucephala islandica,barrow's goldeneye
Haliaeetus leucocephalus,Haliaeetus leucocephalus,bald eagle
Aquila chrysaetos,Aquila chrysaetos,golden eagle
Falco peregrinus,Falco peregrinus,peregrine falcon
Osmerus mordax,Osmerus mordax,rainbow smelt
Catharus bicknelli,Catharus bicknelli,bicknell's thrush
Histrionicus histrionicus,Histrionicus histrionicus,harlequin duck
Acer nigrum,Acer nigrum,black maple
Moxostoma carinatum,Moxostoma carinatum,river redhorse
Notropis bifrenatus,Notropis bifrenatus,bridle shiner
Alosa sapidissima,Alosa sapidissima,american shad
Graptemys geographica,Graptemys geographica,common map turtle
Glyptemys insculpta,Glyptemys insculpta,wood turtle
Percina copelandi,Percina copelandi,channel darter
Ursus maritimus,Ursus maritimus,polar bear
Noturus flavus,Noturus flavus,stonecat
Ameiurus natalis,Ameiurus natalis,yellow bullhead
Delphinapterus leucas,Delphinapterus leucas,beluga
Coregonus artedi,Coregonus artedi,cisco
Hybognathus hankinsoni,Hybognathus hankinsoni,brassy minnow
Notropis rubellus,Notropis rubellus,rosyface shiner
Eubalaena glacialis,Eubalaena glacialis,north atlantic right whale
Anarhichas minor,Anarhichas minor,spotted wolffish
Anguilla rostrata,Anguilla rostrata,american eel
Phocoena phocoena,Phocoena phocoena,harbor porpoise
Balaenoptera physalus,Balaenoptera physalus,fin whale
Balaenoptera musculus,Balaenoptera musculus,blue whale
Ammodramus savannarum,Ammodramus savannarum,grasshopper sparrow
Desmognathus fuscus,Desmognathus fuscus,dusky salamander
Parkesia motacilla,Parkesia motacilla,louisiana waterthrush
Cardellina canadensis,Cardellina canadensis,canada warbler
Leucoraja ocellata,Leucoraja ocellata,big skate
Quercus bicolor,Quercus bicolor,swamp white oak
Sagina saginoides,Sagina saginoides,alpine pearlwort
Myoxocephalus quadricornis,Myoxocephalus quadricornis,fourhorn sculpin
Myoxocephalus thompsonii,Myoxocephalus thompsonii,deepwater sculpin
Acipenser fulvescens,Acipenser fulvescens,lake sturgeon
Acipenser oxyrinchus,Acipenser oxyrinchus,atlantic sturgeon
Euphagus carolinus,Euphagus carolinus,rusty blackbird
Draba corymbosa,Draba corymbosa,flat-top draba
Gymnocolea inflata,Gymnocolea inflata,NULL
Lophozia ventricosa,Lophozia ventricosa,NULL
Pompeius verna,Pompeius verna,little glassywing
Oeneis bore,Oeneis bore,NULL
Euptoieta claudia,Euptoieta claudia,variegated fritillary
Euphyes dion,Euphyes dion,dion skipper
Erynnis martialis,Erynnis martialis,mottled duskywing
Opheodrys vernalis,Opheodrys vernalis,smooth green snake
Storeria dekayi,Storeria dekayi,brown snake
Nerodia sipedon,Nerodia sipedon,common watersnake
Lycaena dospassosi,Lycaena dospassosi,NULL
Scapania scandica,Scapania scandica,NULL
Anarhichas lupus,Anarhichas lupus,atlantic wolffish
Anarhichas denticulatus,Anarhichas denticulatus,northern wolffish
Clemmys guttata,Clemmys guttata,spotted turtle
Scapania irrigua,Scapania irrigua,NULL
Lampropeltis triangulum,Lampropeltis triangulum,eastern milk snake
Phoca vitulina,Phoca vitulina,harbor seal
Tritomaria quinquedentata,Trilophozia quinquedentata,NULL
Diadophis punctatus,Diadophis punctatus,ring-necked snake
Ceratodon heterophyllus,Ceratodon heterophyllus,NULL
Gadus morhua,Gadus morhua,atlantic cod
Salvelinus alpinus,Salvelinus alpinus,arctic char
Botrychium pinnatum,Botrychium pinnatum,northwestern moonwort
Hemidactylium scutatum,Hemidactylium scutatum,four-toed salamander
Pseudacris maculata,Pseudacris maculata,boreal chorus frog
Lithobates palustris,Lithobates palustris,pickerel frog
Oceanodroma leucorhoa,Oceanodroma leucorhoa,leach's storm petrel
Carex macloviana,Carex macloviana,falkland island sedge
Cephaloziella rubella,Cephaloziella rubella,NULL
Sphagnum perfoliatum,Sphagnum perfoliatum,NULL
Eleocharis mamillata,Eleocharis mamillata,soft-stemmed spikerush
Calidris canutus,Calidris canutus,red knot
Marchantia polymorpha,Marchantia polymorpha,NULL
Cephaloziella uncinata,Cephaloziella uncinata,NULL
Sphagnum mirum,Sphagnum mirum,NULL
Contopus cooperi,Contopus cooperi,olive-sided flycatcher
Cistothorus platensis,Cistothorus platensis,sedge wren
Galium brevipes,Galium brevipes,limestone swamp bedstraw
Festuca baffinensis,Festuca baffinensis,baffin island fescue
Asio flammeus,Asio flammeus,short-eared owl
Chordeiles minor,Chordeiles minor,common nighthawk
Antrostomus vociferus,Antrostomus vociferus,eastern whip-poor-will
Chaetura pelagica,Chaetura pelagica,chimney swift
Vermivora chrysoptera,Vermivora chrysoptera,golden-winged warbler
Prionace glauca,Prionace glauca,blue shark
Juglans cinerea,Juglans cinerea,butternut
Carya ovata,Carya ovata,shagbark hickory
Tofieldia coccinea,Tofieldia coccinea,northern tofieldia
Puccinellia nuttalliana,Puccinellia nuttalliana,nuttall's alkaligrass
Esox niger,Esox niger,chain pickerel
Hydroprogne caspia,Hydroprogne caspia,caspian tern
Desmognathus ochrophaeus,Desmognathus ochrophaeus,allegheny mountain dusky salamander
Charadrius melodus,Charadrius melodus,piping plover
Melanerpes erythrocephalus,Melanerpes erythrocephalus,red-headed woodpecker
Setophaga cerulea,Setophaga cerulea,cerulean warbler
Podiceps auritus,Podiceps auritus,horned grebe
Sterna dougallii,Sterna dougallii,roseate tern
Ammocrypta pellucida,Ammocrypta pellucida,eastern sand darter
Moxostoma hubbsi,Moxostoma hubbsi,copper redhorse
Ichthyomyzon fossor,Ichthyomyzon fossor,northern brook lamprey
Lanius ludovicianus,Lanius ludovicianus,loggerhead shrike
Coturnicops noveboracensis,Coturnicops noveboracensis,yellow rail
Carex glacialis,Carex glacialis,glacier sedge
Pinus rigida,Pinus rigida,pitch pine
Ulmus thomasii,Ulmus thomasii,rock elm
Coenonympha nipisiquit,Coenonympha inornata,inornate ringlet
Apalone spinifera,Apalone spinifera,spiny softshell
Sternotherus odoratus,Sternotherus odoratus,common musk turtle
Emydoidea blandingii,Emydoidea blandingii,blanding's turtle
Dermochelys coriacea,Dermochelys coriacea,leatherback
Epigaea repens,Epigaea repens,trailing arbutus
Kalmia angustifolia,Kalmia angustifolia,sheep laurel
Vaccinium myrtilloides,Vaccinium myrtilloides,velvet-leaved blueberry
Maianthemum canadense,Maianthemum canadense,wild lily-of-the-valley
Clintonia borealis,Clintonia borealis,yellow clintonia
Oxalis montana,Oxalis montana,white wood-sorrel
Bazzania trilobata,Bazzania trilobata,threelobed bazzania
Eurybia macrophylla,Eurybia macrophylla,large-leaved aster
Huperzia lucidula,Huperzia lucidula,shining firmoss
Pteridium aquilinum,Pteridium aquilinum,bracken fern
Rubus idaeus,Rubus idaeus,red raspberry
Moneses uniflora,Moneses uniflora,one-flowered wintergreen
Ribes lacustre,Ribes lacustre,bristly black currant
Aralia nudicaulis,Aralia nudicaulis,wild sarsaparilla
Athyrium filix-femina,Athyrium filix-femina,common ladyfern
Geum macrophyllum,Geum macrophyllum,large-leaved avens
Dendrolycopodium obscurum,Lycopodium obscurum,flat-branched tree-clubmoss
Lycopodium clavatum,Lycopodium clavatum,running clubmoss
Juniperus horizontalis,Juniperus horizontalis,creeping juniper
Monotropa uniflora,Monotropa uniflora,indian pipe
Osmundastrum cinnamomeum,Osmundastrum cinnamomeum,cinnamon fern
Apocynum androsaemifolium,Apocynum androsaemifolium,spreading dogbane
Iris versicolor,Iris versicolor,harlequin blue flag
Sarracenia purpurea,Sarracenia purpurea,northern pitcher plant
Viburnum opulus americanum,Viburnum opulus americanum,highbush cranberry
Thalictrum pubescens,Thalictrum pubescens,tall meadow-rue
Goodyera repens,Goodyera repens,dwarf rattlesnake-plantain
Parathelypteris noveboracensis,Parathelypteris noveboracensis,new york fern
Actaea rubra,Actaea rubra,red baneberry
Diervilla lonicera,Diervilla lonicera,northern bush-honeysuckle
Lonicera canadensis,Lonicera canadensis,canada fly-honeysuckle
Polypodium virginianum,Polypodium virginianum,rock polypody
Dasiphora fruticosa,Dasiphora fruticosa,shrubby cinquefoil
Erythronium americanum,Erythronium americanum,yellow trout lily
Polygonatum pubescens,Polygonatum pubescens,hairy solomon's seal
Aralia hispida,Aralia hispida,bristly sarsaparilla
Dennstaedtia punctilobula,Dennstaedtia punctilobula,eastern hay-scented fern
Spiraea alba latifolia,Spiraea latifolia,white meadowsweet
Anaphalis margaritacea,Anaphalis margaritacea,pearly everlasting
Maianthemum stellatum,Maianthemum stellatum,star-flowered false solomon's seal
Comptonia peregrina,Comptonia peregrina,sweet-fern
Cypripedium acaule,Cypripedium acaule,pink lady's-slipper
Oclemena acuminata,Oclemena acuminata,whorled wood aster
Gaultheria procumbens,Gaultheria procumbens,eastern teaberry
Aralia racemosa,Aralia racemosa,american spikenard
Maianthemum racemosum,Maianthemum racemosum,large false solomon's seal
Solidago flexicaulis,Solidago flexicaulis,zigzag goldenrod
Chimaphila umbellata,Chimaphila umbellata,common pipsissewa
Circaea alpina,Circaea alpina,small enchanter's nightshade
Onoclea sensibilis,Onoclea sensibilis,sensitive fern
Pyrola elliptica,Pyrola elliptica,shinleaf
Matteuccia struthiopteris,Matteuccia struthiopteris,ostrich fern
Galium triflorum,Galium triflorum,three-flowered bedstraw
Asarum canadense,Asarum canadense,canada wild ginger
Platanthera orbiculata,Platanthera orbiculata,lesser round-leaved orchid
Taxus canadensis,Taxus canadensis,canada yew
Vicia cracca,Vicia cracca,tufted vetch
Solidago rugosa,Solidago rugosa,rough-stemmed goldenrod
Trillium erectum,Trillium erectum,red trillium
Thalictrum dioicum,Thalictrum dioicum,early meadow-rue
Trillium cernuum,Trillium cernuum,nodding trillium
Dryopteris cristata,Dryopteris cristata,crested wood fern
Rubus repens,Rubus repens,raspberry
Caulophyllum thalictroides,Caulophyllum thalictroides,blue cohosh
Achillea millefolium,Achillea millefolium,common yarrow
Botrypus virginianus,Botrychium virginianum,rattlesnake fern
Toxicodendron radicans,Toxicodendron radicans,poison ivy
Ilex verticillata,Ilex verticillata,common winterberry
Parthenocissus quinquefolia,Parthenocissus quinquefolia,virginia creeper
Dirca palustris,Dirca palustris,eastern leatherwood
Trillium grandiflorum,Trillium grandiflorum,white trillium
Actaea pachypoda,Actaea pachypoda,white baneberry
Arisaema triphyllum,Arisaema triphyllum,jack-in-the-pulpit
Impatiens capensis,Impatiens capensis,spotted jewelweed
Viburnum lantanoides,Viburnum lantanoides,hobblebush
Osmorhiza claytonii,Osmorhiza claytonii,NULL
Mitella diphylla,Mitella diphylla,two-leaved mitrewort
Taraxacum officinale,Taraxacum officinale,common dandelion
Medeola virginiana,Medeola virginiana,indian cucumber-root
Adiantum pedatum,Adiantum pedatum,northern maidenhair fern
Dryopteris marginalis,Dryopteris marginalis,marginal wood fern
Polystichum acrostichoides,Polystichum acrostichoides,christmas fern
Rubus allegheniensis,Rubus allegheniensis,allegheny blackberry
Ribes cynosbati,Ribes cynosbati,eastern prickly gooseberry
Cypripedium parviflorum,Cypripedium parviflorum,yellow lady's-slipper
Mitchella repens,Mitchella repens,partridgeberry
Galium asprellum,Galium asprellum,rough bedstraw
Dicentra canadensis,Dicentra canadensis,squirrel-corn
Corallorhiza maculata,Corallorhiza maculata,spotted coralroot
Sanguinaria canadensis,Sanguinaria canadensis,bloodroot
Cardamine diphylla,Cardamine diphylla,two-leaved toothwort
Scutellaria lateriflora,Scutellaria lateriflora,mad-dog skullcap
Fallopia cilinodis,Fallopia cilinodis,fringed black bindweed
Anemonastrum canadense,Anemonastrum canadense,canada anemone
Ribes americanum,Ribes americanum,american black currant
Aronia melanocarpa,Aronia melanocarpa,black chokeberry
Rubus odoratus,Rubus odoratus,purple-flowering raspberry
Uvularia grandiflora,Uvularia grandiflora,large-flowered bellwort
Ranunculus acris,Ranunculus acris,common buttercup
Veratrum viride,Veratrum viride,green false hellebore
Melampyrum lineare,Melampyrum lineare,american cow-wheat
Tiarella cordifolia,Tiarella cordifolia,heart-leaved foamflower
Osmunda regalis,Osmunda regalis,royal fern
Lycopus uniflorus,Lycopus uniflorus,northern water-horehound
Claytonia caroliniana,Claytonia caroliniana,carolina spring beauty
Eutrochium maculatum,Eutrochium maculatum,spotted joe pye weed
Deparia acrostichoides,Deparia acrostichoides,silvery spleenwort
Laportea canadensis,Laportea canadensis,canada wood nettle
Cornus rugosa,Cornus rugosa,round-leaved dogwood
Polystichum braunii,Polystichum braunii,braun's holly fern
Capnoides sempervirens,Capnoides sempervirens,pink corydalis
Rosa acicularis,Rosa acicularis,prickly rose
Vaccinium ovalifolium,Vaccinium ovalifolium,oval-leaved blueberry
Viola pubescens,Viola pubescens,downy yellow violet
Lactuca biennis,Lactuca biennis,tall blue lettuce
Doellingeria umbellata,Doellingeria umbellata,flat-top white aster
Vitis riparia,Vitis riparia,riverbank grape
Uvularia sessilifolia,Uvularia sessilifolia,sessile-leaved bellwort
Diphasiastrum digitatum,Diphasiastrum digitatum,southern ground-cedar
Cystopteris bulbifera,Cystopteris bulbifera,bulblet bladder fern
Ranunculus abortivus,Ranunculus abortivus,kidney-leaved buttercup
Chrysosplenium americanum,Chrysosplenium americanum,american golden-saxifrage
Juglans nigra,Juglans nigra,black walnut
Allium tricoccum,Allium tricoccum,wild leek
Symplocarpus foetidus,Symplocarpus foetidus ex ex,eastern skunk cabbage
Epipactis helleborine,Epipactis helleborine,broad-leaved helleborine
Clematis virginiana,Clematis virginiana,virginia clematis
Hepatica acutiloba,Anemone acutiloba,sharp-lobed hepatica
Hydrocotyle americana,Hydrocotyle americana,american water pennywort
Lysimachia terrestris,Lysimachia terrestris,swamp yellow loosestrife
Cryptotaenia canadensis,Cryptotaenia canadensis,canada honewort
Agrimonia striata,Agrimonia striata,woodland agrimony
Lonicera tatarica,Lonicera tatarica,tatarian honeysuckle
Sium suave,Sium suave,common water-parsnip
Physocarpus opulifolius,Physocarpus opulifolius,eastern ninebark
Leucanthemum vulgare,Leucanthemum vulgare,oxeye daisy
Plantago major,Plantago major,common plantain
Potentilla recta,Potentilla recta,sulphur cinquefoil
Eupatorium perfoliatum,Eupatorium perfoliatum,common boneset
Cicuta bulbifera,Cicuta bulbifera,bulbous water-hemlock
Solanum dulcamara,Solanum dulcamara,bittersweet nightshade
Celastrus scandens,Celastrus scandens,climbing bittersweet
Echinocystis lobata,Echinocystis lobata,wild cucumber
Gentiana linearis,Gentiana linearis,narrow-leaved gentian
Viburnum lentago,Viburnum lentago,nannyberry
Hydrophyllum virginianum,Hydrophyllum virginianum,virginia waterleaf
Geum canadense,Geum canadense,canada avens
Lactuca canadensis,Lactuca canadensis,canada lettuce
Hypericum perforatum,Hypericum perforatum,common st. john's-wort
Physalis heterophylla,Physalis heterophylla,clammy ground-cherry
Potentilla argentea,Potentilla argentea,silvery cinquefoil
Pilea pumila,Pilea pumila,dwarf clearweed
Lysimachia ciliata,Lysimachia ciliata,fringed yellow loosestrife
Rubus occidentalis,Rubus occidentalis,black raspberry
Hypericum canadense,Hypericum canadense,canada st. john's-wort
Rubus hispidus,Rubus hispidus,bristly dewberry
Glechoma hederacea,Glechoma hederacea,ground-ivy
Berberis thunbergii,Berberis thunbergii,japanese barberry
Lonicera dioica,Lonicera dioica,limber honeysuckle
Epifagus virginiana,Epifagus virginiana,beechdrops
Mentha canadensis,Mentha arvensis borealis,canada mint
Caltha palustris,Caltha palustris,yellow marsh marigold
Sanicula marilandica,Sanicula marilandica,maryland sanicle
Heracleum maximum,Heracleum maximum,american cow parsnip
Arctium minus,Arctium minus,common burdock
Ambrosia artemisiifolia,Ambrosia artemisiifolia,common ragweed
Rudbeckia hirta,Rudbeckia hirta,black-eyed susan
Prunella vulgaris,Prunella vulgaris,common self-heal
Impatiens pallida,Impatiens pallida,pale jewelweed
Veronica serpyllifolia,Veronica serpyllifolia,thyme-leaved speedwell
Solidago hispida,Solidago hispida,hairy goldenrod
Cypripedium reginae,Cypripedium reginae,showy lady's-slipper
Proserpinaca palustris,Proserpinaca palustris,marsh mermaidweed
Goodyera oblongifolia,Goodyera oblongifolia,menzies' rattlesnake-plantain
Ligusticum scoticum,Ligusticum scoticum,scotch lovage
Typha latifolia,Typha latifolia,broad-leaved cattail
Vaccinium corymbosum,Vaccinium corymbosum,highbush blueberry
Potentilla simplex,Potentilla simplex,old field cinquefoil
Rosa nitida,Rosa nitida,shining rose
Asclepias syriaca,Asclepias syriaca,common milkweed
Oxalis stricta,Oxalis stricta,european wood-sorrel
Spiraea tomentosa,Spiraea tomentosa,steeplebush
Desmodium canadense,Desmodium canadense,canada tick-trefoil
Lycopus americanus,Lycopus americanus,american water-horehound
Veronica officinalis,Veronica officinalis,common speedwell
Amphicarpaea bracteata,Amphicarpaea bracteata,american hog peanut
Sanicula odorata,Sanicula odorata,clustered sanicle
Hypericum ellipticum,Hypericum ellipticum,pale st. john's-wort
Hamamelis virginiana,Hamamelis virginiana,american witch-hazel
Lilium canadense,Lilium canadense,canada lily
Nuphar variegata,Nuphar variegata,variegated pond-lily
Calypso bulbosa,Calypso bulbosa,calypso
Agrimonia gryposepala,Agrimonia gryposepala,hooked agrimony
Cicuta maculata,Cicuta maculata,spotted water-hemlock
Mentha arvensis,Mentha arvensis,field mint
Bidens connata,Bidens connata,purple-stemmed beggarticks
Panax quinquefolius,Panax quinquefolius,american ginseng
Erigeron canadensis,Erigeron canadensis,canada horseweed
Linaria vulgaris,Linaria vulgaris,butter-and-eggs
Sicyos angulatus,Sicyos angulatus,one-seed burr cucumber
Cryptogramma stelleri,Cryptogramma stelleri,steller's rockbrake
Sceptridium dissectum,Botrychium dissectum,cut-leaved grapefern
Bidens cernua,Bidens cernua,nodding beggarticks
Bidens frondosa,Bidens frondosa,devil's beggarticks
Agalinis tenuifolia,Agalinis tenuifolia,slender-leaved false foxglove
Gnaphalium uliginosum,Gnaphalium uliginosum,low cudweed
Lobelia inflata,Lobelia inflata,indian tobacco
Cardamine bulbosa,Cardamine bulbosa,bulbous bittercress
Humulus lupulus,Humulus lupulus,common hop
Daucus carota,Daucus carota,wild carrot
Inula helenium,Inula helenium,horseheal
Smilax herbacea,Smilax herbacea,herbaceous carrionflower
Geum aleppicum,Geum aleppicum,yellow avens
Phryma leptostachya,Phryma leptostachya,lopseed
Geranium robertianum,Geranium robertianum,herb-robert
Thelypteris palustris pubescens,Thelypteris palustris pubescens,NULL
Erigeron strigosus,Erigeron strigosus,rough fleabane
Medicago lupulina,Medicago lupulina,black medick
Erysimum cheiranthoides,Erysimum cheiranthoides,wormseed wallflower
Ranunculus pensylvanicus,Ranunculus pensylvanicus,pennsylvania buttercup
Urtica dioica,Urtica dioica,stinging nettle
Arctium lappa,Arctium lappa,great burdock
Mimulus ringens,Mimulus ringens,square-stemmed monkeyflower
Hylodesmum glutinosum,Hylodesmum glutinosum,large tick-trefoil
Lysimachia punctata,Lysimachia punctata,spotted yellow loosestrife
Verbascum thapsus,Verbascum thapsus,common mullein
Zizia aurea,Zizia aurea,golden alexanders
Erigeron annuus,Erigeron annuus,annual fleabane
Verbena hastata,Verbena hastata,blue vervain
Oenothera parviflora,Oenothera parviflora,small-flowered evening-primrose
Cirsium vulgare,Cirsium vulgare,bull thistle
Lathyrus pratensis,Lathyrus pratensis,meadow vetchling
Teucrium canadense,Teucrium canadense,canada germander
Oenothera perennis,Oenothera perennis,perennial evening-primrose
Typha angustifolia,Typha angustifolia,narrow-leaved cattail
Polygala sanguinea,Polygala sanguinea,blood milkwort
Symphoricarpos albus,Symphoricarpos albus,NULL
Pilosella caespitosa,Pilosella caespitosa,meadow hawkweed
Valeriana uliginosa,Valeriana uliginosa,mountain valerian
Viburnum acerifolium,Viburnum acerifolium,maple-leaved viburnum
Cichorium intybus,Cichorium intybus,wild chicory
Stellaria graminea,Stellaria graminea,grass-leaved starwort
Persicaria maculosa,Persicaria maculosa,spotted lady's-thumb
Hypericum virginicum,Triadenum virginicum,virginia st. john's-wort
Hepatica americana,Anemone americana,NULL
Pilosella aurantiaca,Pilosella aurantiaca,orange hawkweed
Lonicera hirsuta,Lonicera hirsuta,hairy honeysuckle
Empetrum atropurpureum,Empetrum atropurpureum,purple crowberry
Tripleurospermum maritimum,Tripleurospermum maritimum,seaside chamomile
Diphasiastrum tristachyum,Diphasiastrum tristachyum,blue ground-cedar
Brassica rapa,Brassica rapa,field mustard
Anemone virginiana,Anemone virginiana,tall anemone
Medicago sativa,Medicago sativa,alfalfa
Hypericum punctatum,Hypericum punctatum,spotted st. john's-wort
Sanicula trifoliata,Sanicula trifoliata,large-fruited sanicle
Amorpha fruticosa,Amorpha fruticosa,shrubby false indigo
Hypericum ascyron pyramidatum,Hypericum ascyron pyramidatum,american great st. john's-wort
Cirsium arvense,Cirsium arvense,canada thistle
Scorzoneroides autumnalis,Scorzoneroides autumnalis,autumn hawkbit
Lemna minor,Lemna minor,small duckweed
Leonurus cardiaca,Leonurus cardiaca,common motherwort
Hylotelephium telephium,Hylotelephium telephium,garden stonecrop
Tussilago farfara,Tussilago farfara,coltsfoot
Spiranthes lacera,Spiranthes lacera,northern slender ladies'-tresses
Malaxis unifolia,Malaxis unifolia,green adder's-mouth
Rosa blanda,Rosa blanda,smooth rose
Ajuga reptans,Ajuga reptans,creeping bugleweed
Aquilegia vulgaris,Aquilegia vulgaris,european columbine
Sisyrinchium montanum,Sisyrinchium montanum,strict blue-eyed-grass
Helianthus strumosus,Helianthus strumosus,pale-leaved sunflower
Gaylussacia baccata,Gaylussacia baccata,black huckleberry
Ambrosia trifida,Ambrosia trifida,great ragweed
Galeopsis tetrahit,Galeopsis tetrahit,common hemp-nettle
Silene vulgaris,Silene vulgaris,bladder campion
Apios americana,Apios americana,american groundnut
Chelone glabra,Chelone glabra,white turtlehead
Lathyrus palustris,Lathyrus palustris,marsh vetchling
Alisma triviale,Alisma triviale,northern water-plantain
Calla palustris,Calla palustris,wild calla
Cardamine concatenata,Cardamine concatenata,cut-leaved toothwort
Rubus canadensis,Rubus canadensis,canada blackberry
Solidago canadensis,Solidago canadensis,canada goldenrod
Panax trifolius,Panax trifolius,dwarf ginseng
Viola canadensis,Viola canadensis,canada violet
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,new england aster
Erechtites hieraciifolius,Erechtites hieraciifolius,eastern burnweed
Clinopodium vulgare,Clinopodium vulgare,wild basil
Chelidonium majus,Chelidonium majus,greater celandine
Mertensia paniculata,Mertensia paniculata,tall bluebells
Myotis,Myotis,mouse-eared bats
Myotis lucifugus,Myotis lucifugus,little brown bat
Lasiurus cinereus,Lasiurus cinereus,hoary bat
Myotis septentrionalis,Myotis septentrionalis,northern bat
Lasiurus borealis,Lasiurus borealis,eastern red bat
Eptesicus fuscus,Eptesicus fuscus,big brown bat
Zapus hudsonius,Zapus hudsonius,meadow jumping mouse
Microtus pennsylvanicus,Microtus pennsylvanicus,meadow vole
Peromyscus,Peromyscus,deer mice
Microtus chrotorrhinus,Microtus chrotorrhinus,rock vole
Sorex cinereus,Sorex cinereus,cinereus shrew
Sorex arcticus,Sorex arcticus,arctic shrew
Sorex fumeus,Sorex fumeus,smoky shrew
Sorex palustris,Sorex palustris,american water shrew
Blarina brevicauda,Blarina brevicauda,northern short-tailed shrew
Myodes gapperi,Myodes gapperi,gapper's red-backed mouse
Synaptomys cooperi,Synaptomys cooperi,southern bog lemming
Phenacomys ungava,Phenacomys ungava,eastern heather vole
Peromyscus maniculatus,Peromyscus maniculatus,deer mouse
Peromyscus leucopus,Peromyscus leucopus,white-footed deermouse
Sorex hoyi,Sorex hoyi,american pygmy shrew
Synaptomys borealis,Synaptomys borealis,northern bog lemming
Microtus,Microtus,meadow mice
Sorex gaspensis,Sorex gaspensis,gaspé shrew
Dicrostonyx hudsonius,Dicrostonyx hudsonius,labrador collared lemming
Microtus xanthognathus,Microtus xanthognathus,taiga vole
Condylura cristata,Condylura cristata,star-nosed mole
Mus musculus,Mus musculus,house mouse
Rattus norvegicus,Rattus norvegicus,brown rat
Microtus pinetorum,Microtus pinetorum,pine vole
Parascalops breweri,Parascalops breweri,brewer's mole
Sorex dispar,Sorex dispar,long-tailed shrew
Synaptomys,Synaptomys,bog lemmings
Lasionycteris noctivagans,Lasionycteris noctivagans,black bat
Pipistrellus subflavus,Perimyotis subflavus subflavus,eastern pipistrelle
Myotis leibii,Myotis leibii,eastern small-footed bat
Neotamias minimus,Tamias minimus,least chipmunk
Glaucomys volans,Glaucomys volans,southern flying squirrel
Didelphis virginiana,Didelphis virginiana,virginia opossum
Lasionycteris,Lasionycteris,silver-haired bats
Mustela nivalis,Mustela nivalis,least weasel
Ctenucha virginica,Ctenucha virginica,NULL
Boloria selene,Boloria selene,silver-bordered fritillary
Coenonympha tullia,Coenonympha tullia,common ringlet
Celastrina argiolus,Celastrina argiolus,spring azure
Hemaris thysbe,Hemaris thysbe,common clear-wing
